audit_id,supplier_id,audit_date,standard,clause,finding_type,severity,description,corrective_action_required,corrective_action_description,due_date,closure_date,status
AUD-00615,SPLR-043,2/1/2025,ISO 9001:2015,6.1,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Implement formal non-conformance containment measures.,3/10/2025,3/17/2025,Closed
AUD-00616,SPLR-093,3/5/2023,ISO 9001:2015,4.2,Observation,Major,Management review records lack evidence of action tracking.,Yes,Expand audit scope and ensure full coverage.,4/9/2023,4/29/2023,Closed
AUD-00617,SPLR-079,10/11/2023,IATF 16949,9.2,Observation,Major,Management review records lack evidence of action tracking.,Yes,Document action items and track their closure status.,12/2/2023,11/30/2023,Closed
AUD-00618,SPLR-016,10/5/2024,ISO 9001:2015,8.2,Non-conformance,Major,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,11/16/2024,11/6/2024,Closed
AUD-00619,SPLR-043,8/30/2022,ISO 9001:2015,10.1,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Enhance traceability documentation for all lot numbers.,10/25/2022,10/17/2022,Closed
AUD-00620,SPLR-040,1/24/2022,ISO 9001:2015,9.2,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Integrate risk assessment into supplier evaluation template.,4/14/2022,4/8/2022,Closed
AUD-00621,SPLR-079,1/13/2022,ISO 9001:2015,9.1,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Develop and follow a strict maintenance timetable.,3/9/2022,4/4/2022,Closed
AUD-00622,SPLR-083,2/2/2023,IATF 16949,7.2,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Define and communicate complaint handling procedure.,4/24/2023,4/16/2023,Closed
AUD-00623,SPLR-096,11/15/2022,IATF 16949,9.3,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Define and communicate complaint handling procedure.,2/3/2023,2/19/2023,Closed
AUD-00624,SPLR-088,3/3/2025,IATF 16949,9.3,Observation,Major,Internal audit scope does not cover all processes.,Yes,Revise and train staff on procedure adherence.,4/15/2025,5/11/2025,Closed
AUD-00625,SPLR-069,5/16/2022,ISO 9001:2015,6.1,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Develop and follow a strict maintenance timetable.,7/9/2022,8/8/2022,Closed
AUD-00626,SPLR-035,1/19/2023,ISO 9001:2015,10.2,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Develop and follow a strict maintenance timetable.,4/4/2023,3/27/2023,Closed
AUD-00627,SPLR-039,10/14/2024,ISO 9001:2015,6.2,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Integrate risk assessment into supplier evaluation template.,11/26/2024,12/19/2024,Closed
AUD-00628,SPLR-004,2/6/2024,ISO 9001:2015,10.1,Observation,Minor,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,4/4/2024,4/26/2024,Closed
AUD-00629,SPLR-019,1/25/2023,IATF 16949,9.1,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Integrate risk assessment into supplier evaluation template.,4/14/2023,4/24/2023,Closed
AUD-00630,SPLR-040,2/25/2023,ISO 9001:2015,7.2,Non-conformance,Minor,Traceability records incomplete for critical components.,Yes,Expand audit scope and ensure full coverage.,4/3/2023,3/24/2023,Closed
AUD-00631,SPLR-003,11/14/2023,IATF 16949,4.2,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Expand audit scope and ensure full coverage.,2/1/2024,2/10/2024,Closed
AUD-00632,SPLR-099,10/20/2023,ISO 9001:2015,5.2,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Integrate risk assessment into supplier evaluation template.,12/23/2023,1/2/2024,Closed
AUD-00633,SPLR-072,7/13/2023,ISO 9001:2015,5.1,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Update calibration records and schedule preventive calibration.,8/12/2023,9/10/2023,Closed
AUD-00634,SPLR-074,1/16/2025,IATF 16949,9.3,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Integrate risk assessment into supplier evaluation template.,2/24/2025,3/4/2025,Closed
AUD-00635,SPLR-017,5/26/2022,IATF 16949,10.2,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Expand audit scope and ensure full coverage.,7/23/2022,7/16/2022,Closed
AUD-00636,SPLR-023,4/14/2022,ISO 9001:2015,7.1,Observation,Major,Documented procedure not followed during batch production.,Yes,Update calibration records and schedule preventive calibration.,6/10/2022,6/25/2022,Closed
AUD-00637,SPLR-073,10/2/2023,IATF 16949,6.1,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Update calibration records and schedule preventive calibration.,12/30/2023,1/18/2024,Closed
AUD-00638,SPLR-029,8/17/2024,ISO 9001:2015,7.2,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Define and communicate complaint handling procedure.,10/16/2024,10/20/2024,Closed
AUD-00639,SPLR-004,1/15/2024,IATF 16949,5.3,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Develop and follow a strict maintenance timetable.,3/14/2024,4/4/2024,Closed
AUD-00640,SPLR-078,8/20/2022,IATF 16949,9.1,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Implement formal non-conformance containment measures.,10/7/2022,10/19/2022,Closed
AUD-00641,SPLR-069,4/10/2024,ISO 9001:2015,6.2,Observation,Major,Internal audit scope does not cover all processes.,Yes,Update calibration records and schedule preventive calibration.,6/29/2024,7/8/2024,Closed
AUD-00642,SPLR-062,4/24/2025,IATF 16949,6.2,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Conduct training sessions and maintain attendance logs.,6/28/2025,6/28/2025,Open
AUD-00643,SPLR-073,11/29/2023,ISO 9001:2015,10.2,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Enhance traceability documentation for all lot numbers.,2/17/2024,3/5/2024,Closed
AUD-00644,SPLR-077,12/21/2022,ISO 9001:2015,9.2,Observation,Major,Management review records lack evidence of action tracking.,Yes,Define and communicate complaint handling procedure.,1/27/2023,2/23/2023,Closed
AUD-00645,SPLR-009,2/10/2025,ISO 9001:2015,10.2,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Implement formal non-conformance containment measures.,3/31/2025,4/15/2025,Closed
AUD-00646,SPLR-075,11/2/2023,IATF 16949,10.3,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Update calibration records and schedule preventive calibration.,12/15/2023,12/13/2023,Closed
AUD-00647,SPLR-058,11/2/2022,IATF 16949,9.3,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Enhance traceability documentation for all lot numbers.,1/10/2023,2/5/2023,Closed
AUD-00648,SPLR-012,10/11/2023,IATF 16949,10.1,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Enhance traceability documentation for all lot numbers.,12/25/2023,1/6/2024,Closed
AUD-00649,SPLR-091,9/19/2022,IATF 16949,4.2,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Expand audit scope and ensure full coverage.,10/22/2022,10/12/2022,Closed
AUD-00650,SPLR-041,8/1/2023,ISO 9001:2015,5.2,Observation,Major,Traceability records incomplete for critical components.,Yes,Document action items and track their closure status.,9/25/2023,10/25/2023,Closed
AUD-00651,SPLR-025,2/21/2024,IATF 16949,9.3,Observation,Major,Inadequate training records for new operators.,Yes,Implement formal non-conformance containment measures.,4/21/2024,4/19/2024,Closed
AUD-00652,SPLR-083,5/4/2024,ISO 9001:2015,6.1,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Implement formal non-conformance containment measures.,6/3/2024,5/28/2024,Closed
AUD-00653,SPLR-059,9/23/2024,IATF 16949,5.2,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Implement formal non-conformance containment measures.,12/3/2024,12/19/2024,Closed
AUD-00654,SPLR-024,7/19/2024,IATF 16949,9.3,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Enhance traceability documentation for all lot numbers.,9/9/2024,9/13/2024,Closed
AUD-00655,SPLR-074,3/29/2025,IATF 16949,6.2,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Integrate risk assessment into supplier evaluation template.,5/24/2025,6/17/2025,Open
AUD-00656,SPLR-019,3/19/2022,IATF 16949,7.3,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Document action items and track their closure status.,5/18/2022,5/13/2022,Closed
AUD-00657,SPLR-081,11/24/2024,ISO 9001:2015,8.1,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Update calibration records and schedule preventive calibration.,1/8/2025,1/28/2025,Closed
AUD-00658,SPLR-061,4/19/2022,IATF 16949,9.3,Observation,Major,Documented procedure not followed during batch production.,Yes,Define and communicate complaint handling procedure.,6/17/2022,7/9/2022,Closed
AUD-00659,SPLR-096,12/24/2023,IATF 16949,7.1,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Revise and train staff on procedure adherence.,3/7/2024,4/4/2024,Closed
AUD-00660,SPLR-095,5/6/2022,IATF 16949,10.1,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Document action items and track their closure status.,6/8/2022,6/16/2022,Closed
AUD-00661,SPLR-033,9/19/2024,ISO 9001:2015,5.1,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Update calibration records and schedule preventive calibration.,12/12/2024,12/19/2024,Closed
AUD-00662,SPLR-095,7/18/2023,IATF 16949,4.1,Non-conformance,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Document action items and track their closure status.,8/28/2023,9/24/2023,Closed
AUD-00663,SPLR-005,1/28/2024,ISO 9001:2015,6.1,Observation,Minor,Inadequate training records for new operators.,Yes,Define and communicate complaint handling procedure.,3/9/2024,4/1/2024,Closed
AUD-00664,SPLR-031,10/25/2022,ISO 9001:2015,10.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Enhance traceability documentation for all lot numbers.,1/12/2023,1/26/2023,Closed
AUD-00665,SPLR-060,3/8/2023,IATF 16949,4.2,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Update calibration records and schedule preventive calibration.,4/10/2023,4/10/2023,Closed
AUD-00666,SPLR-061,9/10/2023,IATF 16949,9.3,Observation,Minor,Inadequate training records for new operators.,Yes,Enhance traceability documentation for all lot numbers.,11/22/2023,12/6/2023,Closed
AUD-00667,SPLR-068,12/22/2024,IATF 16949,4.1,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Define and communicate complaint handling procedure.,2/14/2025,2/24/2025,Closed
AUD-00668,SPLR-035,12/24/2024,IATF 16949,8.2,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Integrate risk assessment into supplier evaluation template.,2/13/2025,2/20/2025,Closed
AUD-00669,SPLR-067,4/11/2025,IATF 16949,8.3,Observation,Minor,Inadequate training records for new operators.,Yes,Document action items and track their closure status.,6/29/2025,7/1/2025,Open
AUD-00670,SPLR-013,10/4/2023,ISO 9001:2015,9.1,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Update calibration records and schedule preventive calibration.,11/3/2023,11/19/2023,Closed
AUD-00671,SPLR-004,12/21/2023,ISO 9001:2015,9.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Integrate risk assessment into supplier evaluation template.,2/1/2024,1/24/2024,Closed
AUD-00672,SPLR-017,5/1/2025,ISO 9001:2015,8.2,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Update calibration records and schedule preventive calibration.,6/5/2025,7/3/2025,Open
AUD-00673,SPLR-082,8/16/2022,ISO 9001:2015,6.1,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Define and communicate complaint handling procedure.,10/27/2022,10/21/2022,Closed
AUD-00674,SPLR-049,5/24/2024,IATF 16949,6.3,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Update calibration records and schedule preventive calibration.,7/10/2024,7/3/2024,Closed
AUD-00675,SPLR-026,5/4/2022,IATF 16949,6.3,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Define and communicate complaint handling procedure.,6/7/2022,6/28/2022,Closed
AUD-00676,SPLR-083,10/4/2024,ISO 9001:2015,5.1,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Enhance traceability documentation for all lot numbers.,11/16/2024,12/15/2024,Closed
AUD-00677,SPLR-100,6/15/2023,ISO 9001:2015,4.1,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Update calibration records and schedule preventive calibration.,8/20/2023,8/26/2023,Closed
AUD-00678,SPLR-035,10/16/2024,ISO 9001:2015,9.1,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Revise and train staff on procedure adherence.,12/27/2024,1/10/2025,Closed
AUD-00679,SPLR-094,3/12/2024,ISO 9001:2015,8.1,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Define and communicate complaint handling procedure.,5/8/2024,5/23/2024,Closed
AUD-00680,SPLR-043,1/7/2022,IATF 16949,9.1,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Document action items and track their closure status.,3/12/2022,3/24/2022,Closed
AUD-00681,SPLR-098,4/24/2022,ISO 9001:2015,6.2,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Develop and follow a strict maintenance timetable.,5/29/2022,6/17/2022,Closed
AUD-00682,SPLR-014,12/28/2022,ISO 9001:2015,7.1,Observation,Major,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,3/12/2023,3/26/2023,Closed
AUD-00683,SPLR-093,6/23/2022,IATF 16949,6.1,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Revise and train staff on procedure adherence.,8/4/2022,7/26/2022,Closed
AUD-00684,SPLR-058,3/7/2024,ISO 9001:2015,10.1,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Integrate risk assessment into supplier evaluation template.,5/7/2024,5/31/2024,Closed
AUD-00685,SPLR-084,11/26/2023,ISO 9001:2015,6.2,Observation,Minor,Documented procedure not followed during batch production.,Yes,Enhance traceability documentation for all lot numbers.,1/2/2024,1/5/2024,Closed
AUD-00686,SPLR-061,4/1/2025,ISO 9001:2015,4.2,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Implement formal non-conformance containment measures.,6/1/2025,5/23/2025,Open
AUD-00687,SPLR-059,9/25/2022,ISO 9001:2015,5.1,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Integrate risk assessment into supplier evaluation template.,12/16/2022,12/12/2022,Closed
AUD-00688,SPLR-026,8/6/2022,ISO 9001:2015,7.2,Observation,Major,Management review records lack evidence of action tracking.,Yes,Document action items and track their closure status.,9/19/2022,9/13/2022,Closed
AUD-00689,SPLR-028,4/3/2024,IATF 16949,5.1,Non-conformance,Minor,Management review records lack evidence of action tracking.,Yes,Expand audit scope and ensure full coverage.,5/11/2024,5/21/2024,Closed
AUD-00690,SPLR-022,11/19/2023,ISO 9001:2015,4.2,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Implement formal non-conformance containment measures.,2/5/2024,2/21/2024,Closed
AUD-00691,SPLR-079,6/17/2024,ISO 9001:2015,8.2,Observation,Minor,Documented procedure not followed during batch production.,Yes,Implement formal non-conformance containment measures.,7/23/2024,8/22/2024,Closed
AUD-00692,SPLR-091,2/2/2022,IATF 16949,4.3,Observation,Major,Documented procedure not followed during batch production.,Yes,Revise and train staff on procedure adherence.,3/15/2022,3/10/2022,Closed
AUD-00693,SPLR-053,9/1/2024,ISO 9001:2015,5.2,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Integrate risk assessment into supplier evaluation template.,11/3/2024,11/21/2024,Closed
AUD-00694,SPLR-081,3/19/2022,ISO 9001:2015,9.2,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Document action items and track their closure status.,6/17/2022,6/12/2022,Closed
AUD-00695,SPLR-013,5/7/2024,ISO 9001:2015,8.1,Observation,Minor,Inadequate training records for new operators.,Yes,Conduct training sessions and maintain attendance logs.,6/13/2024,7/6/2024,Closed
AUD-00696,SPLR-088,8/8/2024,ISO 9001:2015,6.1,Observation,Major,Documented procedure not followed during batch production.,Yes,Conduct training sessions and maintain attendance logs.,9/14/2024,9/13/2024,Closed
AUD-00697,SPLR-037,12/28/2022,ISO 9001:2015,9.1,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Revise and train staff on procedure adherence.,3/9/2023,3/22/2023,Closed
AUD-00698,SPLR-069,5/30/2023,IATF 16949,10.2,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Revise and train staff on procedure adherence.,7/5/2023,6/28/2023,Closed
AUD-00699,SPLR-093,3/1/2022,IATF 16949,9.2,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Update calibration records and schedule preventive calibration.,5/27/2022,6/1/2022,Closed
AUD-00700,SPLR-042,5/8/2024,ISO 9001:2015,9.2,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Conduct training sessions and maintain attendance logs.,7/26/2024,7/23/2024,Closed
AUD-00701,SPLR-075,5/1/2023,IATF 16949,6.1,Observation,Minor,Traceability records incomplete for critical components.,Yes,Conduct training sessions and maintain attendance logs.,6/4/2023,6/24/2023,Closed
AUD-00702,SPLR-048,6/11/2024,ISO 9001:2015,5.2,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Define and communicate complaint handling procedure.,7/22/2024,8/5/2024,Closed
AUD-00703,SPLR-089,2/2/2023,IATF 16949,6.3,Non-conformance,Major,Inadequate training records for new operators.,Yes,Develop and follow a strict maintenance timetable.,3/12/2023,3/4/2023,Closed
AUD-00704,SPLR-098,10/7/2022,ISO 9001:2015,10.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Define and communicate complaint handling procedure.,12/2/2022,12/2/2022,Closed
AUD-00705,SPLR-030,8/28/2023,ISO 9001:2015,10.1,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Implement formal non-conformance containment measures.,11/2/2023,11/27/2023,Closed
AUD-00706,SPLR-036,12/4/2024,IATF 16949,6.1,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Define and communicate complaint handling procedure.,2/25/2025,3/16/2025,Closed
AUD-00707,SPLR-020,5/21/2023,ISO 9001:2015,6.2,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Document action items and track their closure status.,7/4/2023,7/31/2023,Closed
AUD-00708,SPLR-051,4/1/2022,ISO 9001:2015,7.2,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Revise and train staff on procedure adherence.,5/28/2022,6/20/2022,Closed
AUD-00709,SPLR-089,7/15/2024,IATF 16949,6.2,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Expand audit scope and ensure full coverage.,10/1/2024,9/21/2024,Closed
AUD-00710,SPLR-086,9/29/2022,IATF 16949,7.1,Observation,Minor,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,10/30/2022,11/19/2022,Closed
AUD-00711,SPLR-024,7/29/2024,ISO 9001:2015,7.2,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Implement formal non-conformance containment measures.,10/22/2024,11/6/2024,Closed
AUD-00712,SPLR-055,1/3/2022,ISO 9001:2015,7.1,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Expand audit scope and ensure full coverage.,2/4/2022,2/12/2022,Closed
AUD-00713,SPLR-015,6/15/2022,IATF 16949,4.2,Observation,Major,Internal audit scope does not cover all processes.,Yes,Develop and follow a strict maintenance timetable.,9/9/2022,9/2/2022,Closed
AUD-00714,SPLR-091,8/11/2024,ISO 9001:2015,6.2,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Implement formal non-conformance containment measures.,10/21/2024,11/15/2024,Closed
AUD-00715,SPLR-095,10/11/2022,IATF 16949,6.2,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Update calibration records and schedule preventive calibration.,12/21/2022,1/10/2023,Closed
AUD-00716,SPLR-009,10/19/2023,IATF 16949,6.3,Observation,Major,Internal audit scope does not cover all processes.,Yes,Enhance traceability documentation for all lot numbers.,12/5/2023,11/28/2023,Closed
AUD-00717,SPLR-087,7/15/2024,IATF 16949,9.2,Observation,Major,Internal audit scope does not cover all processes.,Yes,Update calibration records and schedule preventive calibration.,9/13/2024,10/7/2024,Closed
AUD-00718,SPLR-023,1/24/2024,ISO 9001:2015,5.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Update calibration records and schedule preventive calibration.,2/28/2024,3/14/2024,Closed
AUD-00719,SPLR-027,8/12/2022,ISO 9001:2015,6.1,Non-conformance,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Implement formal non-conformance containment measures.,10/12/2022,10/11/2022,Closed
AUD-00720,SPLR-038,5/3/2024,ISO 9001:2015,7.2,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Enhance traceability documentation for all lot numbers.,6/30/2024,6/21/2024,Closed
AUD-00721,SPLR-044,2/15/2022,ISO 9001:2015,10.2,Observation,Major,Internal audit scope does not cover all processes.,Yes,Develop and follow a strict maintenance timetable.,4/12/2022,5/9/2022,Closed
AUD-00722,SPLR-022,4/30/2025,IATF 16949,8.3,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Document action items and track their closure status.,6/7/2025,6/16/2025,Open
AUD-00723,SPLR-059,9/18/2024,IATF 16949,7.1,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Implement formal non-conformance containment measures.,11/9/2024,11/17/2024,Closed
AUD-00724,SPLR-015,1/1/2025,IATF 16949,5.3,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Implement formal non-conformance containment measures.,2/10/2025,2/15/2025,Closed
AUD-00725,SPLR-072,3/22/2025,ISO 9001:2015,7.2,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Develop and follow a strict maintenance timetable.,5/2/2025,5/5/2025,Closed
AUD-00726,SPLR-039,12/6/2023,ISO 9001:2015,6.2,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Expand audit scope and ensure full coverage.,1/15/2024,2/8/2024,Closed
AUD-00727,SPLR-095,4/8/2024,IATF 16949,5.2,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Develop and follow a strict maintenance timetable.,5/17/2024,5/7/2024,Closed
AUD-00728,SPLR-044,8/28/2024,IATF 16949,10.1,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Document action items and track their closure status.,11/12/2024,11/30/2024,Closed
AUD-00729,SPLR-052,3/24/2022,ISO 9001:2015,9.1,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Update calibration records and schedule preventive calibration.,5/12/2022,5/3/2022,Closed
AUD-00730,SPLR-075,1/2/2024,ISO 9001:2015,6.2,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Document action items and track their closure status.,3/13/2024,3/15/2024,Closed
AUD-00731,SPLR-066,2/5/2023,ISO 9001:2015,4.2,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Define and communicate complaint handling procedure.,4/19/2023,4/14/2023,Closed
AUD-00732,SPLR-086,10/1/2024,IATF 16949,10.2,Observation,Major,Management review records lack evidence of action tracking.,Yes,Expand audit scope and ensure full coverage.,12/30/2024,12/23/2024,Closed
AUD-00733,SPLR-045,10/30/2022,IATF 16949,7.3,Observation,Major,Traceability records incomplete for critical components.,Yes,Develop and follow a strict maintenance timetable.,11/29/2022,12/7/2022,Closed
AUD-00734,SPLR-037,7/1/2024,ISO 9001:2015,5.2,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Enhance traceability documentation for all lot numbers.,9/20/2024,10/8/2024,Closed
AUD-00735,SPLR-027,4/28/2024,ISO 9001:2015,10.2,Observation,Major,Management review records lack evidence of action tracking.,Yes,Document action items and track their closure status.,6/2/2024,6/1/2024,Closed
AUD-00736,SPLR-053,12/11/2024,IATF 16949,4.3,Observation,Major,Management review records lack evidence of action tracking.,Yes,Enhance traceability documentation for all lot numbers.,1/15/2025,1/5/2025,Closed
AUD-00737,SPLR-038,12/25/2022,IATF 16949,10.1,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Conduct training sessions and maintain attendance logs.,2/4/2023,2/18/2023,Closed
AUD-00738,SPLR-001,9/11/2023,IATF 16949,9.1,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Define and communicate complaint handling procedure.,10/25/2023,10/16/2023,Closed
AUD-00739,SPLR-089,9/7/2023,IATF 16949,5.1,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Enhance traceability documentation for all lot numbers.,10/18/2023,11/8/2023,Closed
AUD-00740,SPLR-075,9/2/2022,IATF 16949,9.1,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Document action items and track their closure status.,11/18/2022,12/1/2022,Closed
AUD-00741,SPLR-003,6/13/2023,IATF 16949,5.1,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Expand audit scope and ensure full coverage.,8/28/2023,9/23/2023,Closed
AUD-00742,SPLR-046,4/6/2025,ISO 9001:2015,5.1,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Define and communicate complaint handling procedure.,7/1/2025,6/29/2025,Open
AUD-00743,SPLR-068,7/13/2023,IATF 16949,8.2,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Revise and train staff on procedure adherence.,8/30/2023,9/7/2023,Closed
AUD-00744,SPLR-088,1/11/2023,ISO 9001:2015,8.2,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Expand audit scope and ensure full coverage.,3/2/2023,3/12/2023,Closed
AUD-00745,SPLR-002,1/13/2024,ISO 9001:2015,8.1,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Develop and follow a strict maintenance timetable.,4/4/2024,4/3/2024,Closed
AUD-00746,SPLR-020,2/3/2024,IATF 16949,8.2,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Implement formal non-conformance containment measures.,3/10/2024,3/13/2024,Closed
AUD-00747,SPLR-003,2/18/2025,ISO 9001:2015,7.1,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Update calibration records and schedule preventive calibration.,3/27/2025,3/25/2025,Closed
AUD-00748,SPLR-023,10/1/2023,IATF 16949,5.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Document action items and track their closure status.,12/3/2023,12/14/2023,Closed
AUD-00749,SPLR-027,8/31/2022,ISO 9001:2015,5.1,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Conduct training sessions and maintain attendance logs.,10/19/2022,10/17/2022,Closed
AUD-00750,SPLR-006,5/20/2024,ISO 9001:2015,4.2,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Define and communicate complaint handling procedure.,8/6/2024,8/23/2024,Closed
AUD-00751,SPLR-039,3/9/2022,ISO 9001:2015,7.2,Non-conformance,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Integrate risk assessment into supplier evaluation template.,4/10/2022,4/4/2022,Closed
AUD-00752,SPLR-004,9/11/2022,ISO 9001:2015,8.2,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Implement formal non-conformance containment measures.,11/22/2022,12/4/2022,Closed
AUD-00753,SPLR-031,7/23/2023,IATF 16949,7.3,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Expand audit scope and ensure full coverage.,10/10/2023,11/8/2023,Closed
AUD-00754,SPLR-097,3/30/2025,ISO 9001:2015,8.1,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Conduct training sessions and maintain attendance logs.,5/17/2025,5/17/2025,Closed
AUD-00755,SPLR-024,3/15/2023,IATF 16949,7.3,Observation,Major,Management review records lack evidence of action tracking.,Yes,Implement formal non-conformance containment measures.,5/12/2023,5/8/2023,Closed
